Time,Clock,Status,Lat,Lon,Altitude(ft),GPS Speed(m/s),Ground Heading,Range,System Heading,Ave Wind Heading,Ave Wind Mag(m/s),Descent Rate(ft/s),L Motor(inches),R Motor(inches),RSSI
jTrax version: 3.8.3c
Ground Station Log
AGU TIME: 201506023 20:41:49
0.02,20150603 20:41:49:0692, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 70
1.01,20150603 20:41:50:0709, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 73
2.01,20150603 20:41:51:0700, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 74
3.01,20150603 20:41:52:0705, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 72
4.01,20150603 20:41:53:0710, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 73
5.01,20150603 20:41:54:0708, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 89
6.02,20150603 20:41:55:0713, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 80
7.02,20150603 20:41:56:0719, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 74
8.02,20150603 20:41:57:0715, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 82
9.03,20150603 20:41:58:0720, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 71
10.03,20150603 20:41:59:0726, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 72
11.03,20150603 20:42:00:0722, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 73
12.03,20150603 20:42:01:0728, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 82
13.04,20150603 20:42:02:0735, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 73
14.04,20150603 20:42:03:0730, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 87
15.04,20150603 20:42:04:0735, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 71
16.05,20150603 20:42:05:0741, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 74
17.04,20150603 20:42:06:0737, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 75
18.05,20150603 20:42:07:0743, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 74
19.05,20150603 20:42:08:0749, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 71
20.05,20150603 20:42:09:0744, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 74
21.06,20150603 20:42:10:0752, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 75
22.06,20150603 20:42:11:0758, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 76
23.06,20150603 20:42:12:0751, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 76
24.06,20150603 20:42:13:0757, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 78
25.07,20150603 20:42:14:0763, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 80
26.07,20150603 20:42:15:0759, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 78
27.07,20150603 20:42:16:0766, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 80
28.08,20150603 20:42:17:0773, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 76
29.08,20150603 20:42:18:0766, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 92
30.08,20150603 20:42:19:0774, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 70
31.09,20150603 20:42:20:0782, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 81
32.07,20150603 20:42:21:0773, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 75
33.09,20150603 20:42:22:0779, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 71
34.09,20150603 20:42:23:0785, 0, 0.00000000, 0.00000000, 4435.0, 0.00, 0.00, 0, 0.00, 0.00, 0.00, -0.00, 0.0, 0.0, 78
39.02,20150603 20:42:28:0716, 42, 0.00000000, 0.00000000, 584.3, 0.00, 272.00, 0, 0.00, 55.00, 4.00, -0.00, 11.0, 11.0, 71
