yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
130.42,-4.71,0.00,-172.23,-2.11,-0.89,0.00,14:57:3.921,0/0/0,0,0,, , , ,
-168.47,-2.72,-0.65,13.72,-6.89,254.98,19.83,14:57:4.109,0/0/0,0,0,, , , ,
-165.29,-3.27,-0.65,13.72,-6.89,254.98,20.41,14:57:4.312,8/28/14,0,0,, , , ,
-162.62,-3.63,-0.78,14.67,-6.89,252.93,20.41,14:57:4.312,8/28/14,0,0,, , , ,
-160.03,-3.83,-0.97,12.78,-5.91,249.86,20.41,14:57:4.515,8/28/14,0,0,, , , ,
-157.52,-3.99,-1.20,12.78,-6.89,249.86,20.41,14:57:4.515,8/28/14,0,0,, , , ,
-155.10,-4.14,-1.44,13.72,-6.89,244.74,20.41,14:57:4.718,8/28/14,0,0,, , , ,
-152.82,-4.25,-1.72,13.72,-6.89,243.71,20.41,14:57:4.718,8/28/14,0,0,, , , ,
-150.64,-4.40,-1.96,12.78,-6.89,238.59,20.41,14:57:4.921,8/28/14,0,0,, , , ,
-148.63,-4.40,-2.22,11.83,-6.89,234.50,22.73,14:57:5.109,8/28/14,0,0,, , , ,
-146.79,-4.38,-2.43,12.78,-6.89,229.38,16.35,14:57:5.109,8/28/14,0,0,, , , ,
-145.15,-4.34,-2.50,12.78,-5.91,224.26,20.41,14:57:5.312,8/28/14,0,0,, , , ,
-143.74,-4.29,-2.55,11.83,-5.91,219.14,20.99,14:57:5.312,8/28/14,0,0,, , , ,
-142.54,-4.25,-2.66,10.88,-5.91,215.04,22.15,14:57:5.515,8/28/14,0,0,, , , ,
-141.53,-4.12,-2.75,11.83,-5.91,209.92,-55.00,14:57:5.718,8/28/14,0,0,, , , ,
-140.73,-3.98,-2.82,11.83,-4.92,209.92,-55.00,14:57:5.718,8/28/14,0,0,, , , ,
-140.10,-3.79,-2.88,10.88,-5.91,205.82,-55.00,14:57:5.921,8/28/14,0,0,, , , ,
-139.62,-3.55,-2.98,11.83,-5.91,205.82,-55.00,14:57:6.109,8/28/14,0,0,, , , ,
-139.27,-3.30,-2.92,11.83,-5.91,205.82,-55.00,14:57:6.109,8/28/14,0,0,, , , ,
-139.02,-3.03,-2.75,11.83,-5.91,207.87,-55.00,14:57:6.312,8/28/14,0,0,, , , ,
-138.82,-2.90,-2.37,12.78,-6.89,214.02,20.99,14:57:6.312,8/28/14,0,0,, , , ,
-138.66,-2.83,-1.94,10.88,-6.89,218.11,20.99,14:57:6.515,8/28/14,0,0,, , , ,
-138.51,-2.87,-1.47,12.78,-6.89,224.26,20.99,14:57:6.718,8/28/14,0,0,, , , ,
-138.38,-2.98,-1.06,12.78,-5.91,232.45,20.99,14:57:6.718,8/28/14,0,0,, , , ,
-138.23,-3.24,-0.73,13.72,-6.89,239.62,23.31,14:57:6.921,8/28/14,0,0,, , , ,
-138.09,-3.46,-0.55,11.83,-7.88,244.74,20.99,14:57:7.109,8/28/14,0,0,, , , ,
-137.95,-3.74,-0.44,13.72,-6.89,248.83,21.57,14:57:7.109,8/28/14,0,0,, , , ,
-137.81,-4.03,-0.42,12.78,-6.89,249.86,20.99,14:57:7.312,8/28/14,0,0,, , , ,
-137.65,-4.39,-0.40,13.72,-6.89,253.95,22.15,14:57:7.312,8/28/14,0,0,, , , ,
-137.45,-4.76,-0.48,12.78,-6.89,257.02,16.93,14:57:7.515,8/28/14,0,0,, , , ,
-137.22,-5.13,-0.70,11.83,-7.88,261.12,21.57,14:57:7.718,8/28/14,0,0,, , , ,
-136.93,-5.41,-0.99,12.78,-6.89,264.19,21.57,14:57:7.718,8/28/14,0,0,, , , ,
-136.57,-5.66,-1.31,12.78,-6.89,265.22,23.31,14:57:7.921,8/28/14,0,0,, , , ,
-136.16,-5.81,-1.68,14.67,-7.88,265.22,21.57,14:57:7.921,8/28/14,0,0,, , , ,
-135.68,-5.84,-2.00,13.72,-7.88,267.26,21.57,14:57:8.109,8/28/14,0,0,, , , ,
-135.16,-5.73,-2.29,13.72,-7.88,268.29,21.57,14:57:8.312,8/28/14,0,0,, , , ,
-134.58,-5.63,-2.47,13.72,-6.89,267.26,21.57,14:57:8.312,8/28/14,0,0,, , , ,
-133.93,-5.43,-2.83,12.78,-6.89,264.19,21.57,14:57:8.515,8/28/14,0,0,, , , ,
-133.23,-5.15,-3.18,13.72,-6.89,262.14,21.57,14:57:8.718,8/28/14,0,0,, , , ,
-132.51,-4.82,-3.47,12.78,-6.89,261.12,23.31,14:57:8.718,8/28/14,0,0,, , , ,
-131.77,-4.50,-3.62,13.72,-6.89,260.10,22.15,14:57:8.921,8/28/14,0,0,, , , ,
-131.05,-4.12,-3.65,12.78,-5.91,258.05,21.57,14:57:8.921,8/28/14,0,0,, , , ,
-130.31,-3.75,-3.61,12.78,-6.89,254.98,21.57,14:57:9.109,8/28/14,0,0,, , , ,
-129.54,-3.60,-3.55,12.78,-6.89,252.93,21.57,14:57:9.312,8/28/14,0,0,, , , ,
-128.75,-3.59,-3.38,13.72,-6.89,251.90,21.57,14:57:9.312,8/28/14,0,0,, , , ,
-128.02,-3.37,-3.13,13.72,-5.91,250.88,21.57,14:57:9.515,8/28/14,0,0,, , , ,
-127.27,-3.32,-2.89,13.72,-5.91,248.83,21.57,14:57:9.515,8/28/14,0,0,, , , ,
-126.56,-3.12,-2.81,12.78,-6.89,247.81,23.31,14:57:9.718,8/28/14,0,0,, , , ,
-125.87,-3.15,-2.66,13.72,-5.91,245.76,21.57,14:57:9.921,8/28/14,0,0,, , , ,
-125.24,-3.05,-2.58,13.72,-5.91,245.76,21.57,14:57:9.921,8/28/14,0,0,, , , ,
-124.58,-3.08,-2.54,12.78,-4.92,242.69,21.57,14:57:10.109,8/28/14,0,0,, , , ,
-123.93,-3.20,-2.61,13.72,-6.89,238.59,23.31,14:57:10.312,8/28/14,0,0,, , , ,
-123.28,-3.32,-2.75,11.83,-6.89,234.50,21.57,14:57:10.312,8/28/14,0,0,, , , ,
-122.61,-3.45,-2.99,11.83,-5.91,232.45,21.57,14:57:10.515,8/28/14,0,0,, , , ,
-121.94,-3.46,-3.23,11.83,-6.89,228.35,21.57,14:57:10.515,8/28/14,0,0,, , , ,
-121.29,-3.51,-3.30,12.78,-5.91,225.28,21.57,14:57:10.718,8/28/14,0,0,, , , ,
-120.68,-3.42,-3.44,10.88,-6.89,221.18,21.57,14:57:10.921,8/28/14,0,0,, , , ,
-120.07,-3.33,-3.60,11.83,-5.91,219.14,21.57,14:57:10.921,8/28/14,0,0,, , , ,
-119.53,-3.11,-3.65,11.83,-6.89,214.02,23.31,14:57:11.156,8/28/14,0,0,, , , ,
-119.04,-2.86,-3.57,11.83,-5.91,208.90,20.99,14:57:11.156,8/28/14,0,0,, , , ,
-118.55,-2.63,-3.57,10.88,-5.91,204.80,20.99,14:57:11.343,8/28/14,0,0,, , , ,
-118.05,-2.45,-3.66,10.88,-4.92,203.78,20.99,14:57:11.546,8/28/14,0,0,, , , ,
-117.55,-2.20,-3.61,10.88,-5.91,204.80,20.99,14:57:11.546,8/28/14,0,0,, , , ,
-117.00,-2.11,-3.51,10.88,-5.91,211.97,20.99,14:57:11.765,8/28/14,0,0,, , , ,
-116.37,-2.06,-3.47,10.88,-5.91,214.02,20.99,14:57:11.765,8/28/14,0,0,, , , ,
-115.64,-2.22,-3.45,12.78,-6.89,223.23,20.99,14:57:11.953,8/28/14,1,1,4102.1508N, 8237.7285W,6.78,24599.00,6
-114.83,-2.29,-3.46,10.88,-5.91,227.33,23.31,14:57:12.140,8/28/14,1,1,4102.1469N, 8237.7314W,6.78,24601.50,6
-113.90,-2.38,-3.46,11.83,-4.92,232.45,20.99,14:57:12.140,8/28/14,1,1,4102.1469N, 8237.7314W,6.73,24601.50,6
-112.87,-2.42,-3.42,11.83,-6.89,235.52,20.41,14:57:12.343,8/28/14,1,1,4102.1464N, 8237.7343W,6.73,24603.40,6
-111.74,-2.42,-3.45,12.78,-5.91,237.57,20.41,14:57:12.343,8/28/14,1,1,4102.1464N, 8237.7343W,6.62,24603.40,6
-110.53,-2.31,-3.48,13.72,-5.91,242.69,20.41,14:57:12.531,8/28/14,1,1,4102.1464N, 8237.7333W,6.46,24604.00,6
-109.30,-2.11,-3.49,12.78,-6.89,242.69,20.41,14:57:12.734,8/28/14,1,1,4102.1459N, 8237.7333W,6.46,24604.90,6
-108.03,-1.90,-3.31,14.67,-5.91,244.74,20.41,14:57:12.734,8/28/14,1,1,4102.1459N, 8237.7333W,6.31,24604.90,6
-106.76,-1.60,-3.13,13.72,-5.91,244.74,20.41,14:57:12.937,8/28/14,1,1,4102.1464N, 8237.7333W,6.21,24605.80,6
-105.47,-1.48,-3.03,14.67,-5.91,245.76,20.41,14:57:13.140,8/28/14,1,1,4102.1469N, 8237.7324W,6.21,24606.60,6
-104.22,-1.32,-2.80,14.67,-6.89,249.86,20.41,14:57:13.140,8/28/14,1,1,4102.1469N, 8237.7324W,6.15,24606.60,6
-102.99,-1.39,-2.55,16.56,-5.91,254.98,20.41,14:57:13.343,8/28/14,1,1,4102.1469N, 8237.7324W,6.15,24607.40,6
-101.81,-1.44,-2.45,14.67,-6.89,254.98,23.31,14:57:13.343,8/28/14,1,1,4102.1469N, 8237.7324W,6.07,24607.40,6
-100.74,-1.46,-2.24,15.62,-6.89,257.02,20.41,14:57:13.546,8/28/14,1,1,4102.1479N, 8237.7324W,5.91,24608.30,6
-99.78,-1.48,-1.93,14.67,-7.88,260.10,19.83,14:57:13.734,8/28/14,1,1,4102.1489N, 8237.7324W,5.91,24609.30,6
-98.92,-1.63,-1.67,15.62,-6.89,262.14,20.41,14:57:13.734,8/28/14,1,1,4102.1489N, 8237.7324W,5.86,24609.30,6
-98.16,-1.82,-1.30,16.56,-6.89,264.19,24.47,14:57:13.953,8/28/14,1,1,4102.1489N, 8237.7324W,5.85,24609.30,6
-97.54,-2.05,-1.05,16.56,-6.89,265.22,20.41,14:57:14.140,8/28/14,1,1,4102.1489N, 8237.7324W,5.85,24609.20,6
-97.00,-2.25,-0.95,15.62,-7.88,265.22,20.41,14:57:14.140,8/28/14,1,1,4102.1489N, 8237.7324W,5.76,24609.20,6
-96.59,-2.24,-0.88,12.78,-7.88,262.14,20.41,14:57:14.343,8/28/14,1,1,4102.1494N, 8237.7333W,5.76,24608.90,6
-96.28,-2.32,-0.79,15.62,-6.89,262.14,20.41,14:57:14.343,8/28/14,1,1,4102.1494N, 8237.7333W,5.78,24608.90,6
-96.06,-2.37,-0.74,13.72,-7.88,261.12,19.83,14:57:14.546,8/28/14,1,1,4102.1494N, 8237.7343W,5.75,24608.50,6
-95.89,-2.64,-0.72,13.72,-7.88,260.10,19.83,14:57:14.750,8/28/14,1,1,4102.1494N, 8237.7343W,5.75,24609.00,6
-95.77,-2.89,-0.77,13.72,-7.88,258.05,23.31,14:57:14.750,8/28/14,1,1,4102.1494N, 8237.7343W,5.68,24609.00,6
-95.67,-3.25,-0.93,14.67,-6.89,257.02,19.83,14:57:14.937,8/28/14,1,1,4102.1499N, 8237.7333W,5.68,24609.90,6
-95.61,-3.46,-1.11,13.72,-7.88,253.95,19.83,14:57:14.937,8/28/14,1,1,4102.1499N, 8237.7333W,5.58,24609.90,6
-95.58,-3.50,-1.36,13.72,-6.89,252.93,20.41,14:57:15.140,8/28/14,1,1,4102.1503N, 8237.7333W,5.50,24610.90,6
-95.55,-3.53,-1.57,12.78,-7.88,247.81,21.57,14:57:15.343,8/28/14,1,1,4102.1503N, 8237.7333W,5.50,24611.60,6
-95.53,-3.54,-1.67,14.67,-7.88,244.74,19.83,14:57:15.343,8/28/14,1,1,4102.1503N, 8237.7333W,5.41,24611.60,6
-95.51,-3.45,-1.66,14.67,-5.91,243.71,19.83,14:57:15.546,8/28/14,1,1,4102.1503N, 8237.7324W,5.30,24612.30,6
-95.40,-3.36,-1.77,12.78,-5.91,242.69,24.47,14:57:15.734,8/28/14,1,1,4102.1503N, 8237.7324W,5.30,24613.30,6
-95.18,-3.48,-2.05,12.78,-6.89,236.54,19.83,14:57:15.734,8/28/14,1,1,4102.1503N, 8237.7324W,5.18,24613.30,6
-94.87,-3.30,-2.17,11.83,-6.89,231.42,19.83,14:57:15.937,8/28/14,1,1,4102.1503N, 8237.7324W,5.18,24614.40,6
-94.35,-3.31,-2.37,12.78,-5.91,227.33,19.83,14:57:15.937,8/28/14,1,1,4102.1503N, 8237.7324W,5.07,24614.40,6
