yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
122.90,-6.18,2.20,121.82,-5.65,-1.16,0.00,13:26:11.0,8/28/14,1,0,4120.1142N, 8309.9638W,0.58,0.00,0
120.81,-7.06,-1.41,38.33,15.75,228.35,72.62,13:26:11.203,8/28/14,1,1,4120.1142N, 8309.9638W,0.78,174.20,9
121.48,-6.53,-0.05,10.88,-0.98,229.38,73.20,13:26:11.406,8/28/14,1,1,4120.1147N, 8309.9638W,0.78,174.40,9
121.93,-6.39,-0.06,25.08,4.92,233.47,69.72,13:26:11.406,8/28/14,1,1,4120.1147N, 8309.9638W,0.88,174.40,9
122.13,-5.65,-0.03,31.70,-8.86,235.52,72.62,13:26:11.609,8/28/14,1,1,4120.1152N, 8309.9648W,0.88,174.60,9
122.65,-6.15,-0.20,25.08,2.95,237.57,72.62,13:26:11.609,8/28/14,1,1,4120.1152N, 8309.9648W,0.91,174.60,9
122.76,-6.07,-0.36,28.87,0.00,227.33,72.62,13:26:11.796,8/28/14,1,1,4120.1152N, 8309.9648W,0.82,174.70,10
123.02,-6.34,-0.51,25.08,-2.95,231.42,72.62,13:26:12.0,8/28/14,1,1,4120.1152N, 8309.9648W,0.82,174.80,10
123.38,-6.22,-0.44,22.24,-2.95,232.45,72.62,13:26:12.0,8/28/14,1,1,4120.1152N, 8309.9648W,0.76,174.80,10
123.68,-6.37,-0.38,33.60,-3.94,228.35,72.62,13:26:12.203,8/28/14,1,1,4120.1152N, 8309.9658W,0.76,174.90,10
124.11,-6.19,-0.34,26.97,1.97,232.45,77.26,13:26:12.203,8/28/14,1,1,4120.1152N, 8309.9658W,0.69,174.90,10
124.37,-6.10,-0.33,24.13,0.00,229.38,73.20,13:26:12.406,8/28/14,1,1,4120.1152N, 8309.9658W,0.57,175.00,10
124.63,-6.04,-0.28,22.24,0.98,232.45,72.62,13:26:12.609,8/28/14,1,1,4120.1152N, 8309.9658W,0.57,175.10,10
124.76,-6.37,-0.40,22.24,-1.97,245.76,72.62,13:26:12.609,8/28/14,1,1,4120.1152N, 8309.9658W,0.49,175.10,10
124.91,-6.34,-0.08,23.19,-3.94,230.40,72.62,13:26:12.796,8/28/14,1,1,4120.1152N, 8309.9667W,0.49,175.20,10
125.03,-6.24,-0.15,24.13,-2.95,228.35,72.62,13:26:12.796,8/28/14,1,1,4120.1152N, 8309.9667W,0.38,175.20,10
125.26,-6.12,-0.14,24.13,0.00,228.35,72.62,13:26:13.0,8/28/14,1,1,4120.1152N, 8309.9667W,0.33,175.20,10
125.84,-6.17,-0.26,26.97,2.95,234.50,74.94,13:26:13.203,8/28/14,1,1,4120.1152N, 8309.9677W,0.33,175.30,10
126.20,-6.01,-0.27,24.13,-1.97,230.40,73.78,13:26:13.203,8/28/14,1,1,4120.1152N, 8309.9677W,0.23,175.30,10
126.11,-5.79,-0.32,26.97,1.97,230.40,72.62,13:26:13.406,8/28/14,1,1,4120.1152N, 8309.9677W,0.16,175.30,10
126.03,-5.88,-0.48,24.13,0.00,231.42,72.62,13:26:13.609,8/28/14,1,1,4120.1152N, 8309.9677W,0.16,175.40,10
125.87,-6.40,-0.35,23.19,-4.92,230.40,72.62,13:26:13.609,8/28/14,1,1,4120.1152N, 8309.9677W,0.13,175.40,10
125.81,-6.39,-0.33,30.76,2.95,234.50,72.62,13:26:13.796,8/28/14,1,1,4120.1152N, 8309.9677W,0.13,175.40,10
125.80,-5.91,-0.52,25.08,-5.91,234.50,69.14,13:26:13.796,8/28/14,1,1,4120.1152N, 8309.9677W,0.11,175.40,10
125.90,-6.15,-0.63,19.40,7.88,232.45,70.88,13:26:14.0,8/28/14,1,1,4120.1152N, 8309.9687W,0.08,175.50,10
125.66,-5.94,-0.63,22.24,-3.94,228.35,76.10,13:26:14.203,8/28/14,1,1,4120.1157N, 8309.9687W,0.08,175.50,10
125.41,-6.18,-0.41,24.13,-6.89,226.30,69.14,13:26:14.203,8/28/14,1,1,4120.1157N, 8309.9687W,0.08,175.50,10
125.31,-5.97,-0.17,17.51,0.00,231.42,68.56,13:26:14.406,8/28/14,1,1,4120.1157N, 8309.9687W,0.08,175.50,10
125.08,-6.49,-0.20,28.87,0.98,234.50,72.62,13:26:14.406,8/28/14,1,1,4120.1157N, 8309.9687W,0.11,175.50,10
125.39,-6.62,-0.19,30.76,2.95,231.42,72.62,13:26:14.609,8/28/14,1,1,4120.1157N, 8309.9687W,0.16,175.60,10
126.01,-6.84,0.00,26.97,8.86,231.42,72.62,13:26:14.796,8/28/14,1,1,4120.1157N, 8309.9697W,0.16,175.60,10
126.58,-6.92,0.02,27.92,0.98,231.42,72.62,13:26:14.796,8/28/14,1,1,4120.1157N, 8309.9697W,0.19,175.60,10
126.53,-6.86,-0.17,25.08,0.00,226.30,71.46,13:26:15.0,8/28/14,1,1,4120.1157N, 8309.9697W,0.19,175.60,10
126.43,-8.03,-0.15,35.49,-4.92,229.38,78.42,13:26:15.0,8/28/14,1,1,4120.1157N, 8309.9697W,0.20,175.60,10
126.53,-8.10,-0.29,30.76,1.97,232.45,73.20,13:26:15.203,8/28/14,1,1,4120.1157N, 8309.9697W,0.21,175.60,10
127.24,-8.35,-0.08,34.54,0.00,225.28,72.62,13:26:15.406,8/28/14,1,1,4120.1162N, 8309.9697W,0.21,175.70,10
128.21,-7.58,-0.24,18.45,-8.86,234.50,73.20,13:26:15.406,8/28/14,1,1,4120.1162N, 8309.9697W,0.21,175.70,10
127.83,-8.11,-0.01,40.22,-12.80,226.30,72.62,13:26:15.609,8/28/14,1,1,4120.1166N, 8309.9697W,0.18,175.70,10
127.76,-8.02,-0.09,23.19,1.97,233.47,73.20,13:26:15.796,8/28/14,1,1,4120.1166N, 8309.9697W,0.18,175.70,10
127.62,-8.10,0.01,35.49,-2.95,227.33,72.62,13:26:15.796,8/28/14,1,1,4120.1166N, 8309.9697W,0.15,175.70,10
127.53,-8.27,0.21,30.76,0.98,223.23,74.94,13:26:16.0,8/28/14,1,1,4120.1166N, 8309.9697W,0.15,175.70,10
127.48,-8.29,0.08,37.38,0.00,231.42,73.20,13:26:16.0,8/28/14,1,1,4120.1166N, 8309.9697W,0.13,175.70,10
127.45,-8.36,0.28,30.76,0.00,226.30,73.20,13:26:16.203,8/28/14,1,1,4120.1166N, 8309.9697W,0.12,175.80,10
127.42,-8.37,0.24,34.54,0.00,226.30,72.62,13:26:16.406,8/28/14,1,1,4120.1166N, 8309.9707W,0.12,175.80,10
127.38,-7.97,0.44,22.24,4.92,232.45,73.20,13:26:16.406,8/28/14,1,1,4120.1166N, 8309.9707W,0.13,175.80,10
127.36,-8.17,0.24,31.70,1.97,232.45,73.20,13:26:16.609,8/28/14,1,1,4120.1166N, 8309.9707W,0.13,175.80,10
127.30,-8.09,0.25,34.54,4.92,232.45,73.20,13:26:16.609,8/28/14,1,1,4120.1166N, 8309.9707W,0.14,175.80,10
